Text,Explanations,Aspect
“I feel like such a bad mother sometimes but I'm trying my best.”,feel like a bad mother/,3
"""My four male cousins, who I am very close with, are all active members of different armies and I'm so terrified that I'm going to get a phone call one day telling me that they've passed away.""",I’m so terrified/,2
“I am working very hard at keeping the dreaded 'D' at bay which I have battled with too many times.”,dreaded/ battled/,3
"“I find it tiring having to put on a face for people, having to smile and act happy when in reality I’m exhausted and my social battery is already on -5789%.”",Tiring having to put on a face for people/ I’m exhausted/ social battery is already on -5789/,2
"""I am grieving with a lost of a good friend and a partner.""",grieving/,3
"""I don't know how to stop the racing, intrusive thoughts.""","don't know how to stop the racing, intrusive thoughts/",3
"“I think this is because of many people (in at least two Australian states) having problems with me and/or my family... from me having an Italian Catholic father and an Australian Protestant mother, to me growing up in one of my old city's poorest suburbs.”",Having problems with me /,2
"""I deleted my dating app account after that because I want to do better for myself.""",Want to do better for myself/,2
“My 10 year old has been diagnosed with Oppositional Defiant Disorder although I can't help but suspect that he has some other mood disorder going on because of his sudden mood swings.”,diagnosed with Oppositional Defiant Disorder / mood disorder/ sudden mood swings,1
"“I suffer with anxiety, had some traumatic experiences (with men mostly) ”",suffer with anxiety/ traumatic experiences,1
"“I have struggled with manic depression, anxiety and PTSD since a young teenager. Fam suffers from manic depression, anxiety, PTSD, grief and a history of drug and alcohol addiction and abuse.”",struggled with manic depression/ anxiety/ grief/ addiction and abuse/,3
“When I do fall asleep I wake up in the early hours worrying and heart pounding.”,wake up in the early hours/ heart pounding/,1
"“Costs are ridiculous & I'm running out of money. My older child also has ADHD, but it took 8 years to get him diagnosed as the waiting lists were ridiculous & many of the professionals didn't care.""",Running out of money/ ,0
“I’m beginning to think that it’s nothing to do with my body. But my mind.”,My mind/,0
"“I'm broke because I'm helping paying her fines n bills, the cars always empty and now I just feel so empty too.. it hurts cause this isn't what I wanted in life AT ALL”",broke/ feel so empty/ it hurts/ this isn't what I wanted in life AT ALL/,3
“I want to work but just can't handle it emotionally at the moment. I feel like a letdown and useless.”,can't handle it emotionally/ feel like a letdown and useless,3
“We are all sitting in our living room and they are all talking about what ever and I say something and they all kind of look at me and each other and kind of ignore me and it is really setting me down the wrong path and don't know what to do.”,Ignore me/ setting me down/,2
"“I struggle a lot with articulating my thoughts as well, and it feels that sometimes she doesn't understand what I'm trying to say.”",struggle a lot with articulating my thoughts ,0
"""I am really hurt and angry.""",am really hurt/ am angry/,3
"""my wig is too hot and feel like it's making it worse... my hair loss making my social anxiety worse too."" ",Social anxiety worse/ hair loss/ making it worse/,1
"“Along with my experiences with alcohol, I think another reason I might be a bit jealous is because I don't really have any good friends for myself.”", I don't really have any good friends for myself/,2
"""He was a horrible man anyway but who's going to want an ugly fat single mum with 5 kids that are pretty much with me 24/7""",Who’s going to want an ugly fat single mum/ ,2
“I feel like I've been punched in the guts and my heart is breaking.”, punched in the guts/ heart is breaking/,3
"""I (29F) have been really struggling with feeling lonely/isolated for the past month and a bit."" ",Struggling with feeling lonely/ isolated for the past month/,2
"""I honestly don’t remember the last time I was sober since finding her passed away.""",finding her passed away/,3
"""I don't sleep particularly well but when I do sleep, I often wake up soaking in sweat.""",don't sleep particularly well/ often wake up soaking in sweat/,1
“I made it almost half way there and the anxiety kicked in big time and it was long before it was a full blown panic attack. I tried stopping places to calm down and continue on but I just couldn’t do it. I was terrified and exhausted and it just wasn’t safe. I felt physically sick.”,anxiety kicked in big time/ full blown panic attack/ physically sick/ terrified and exhausted/,1
"“My dad has been depressed for as long as i can remember but he seriously injured himself a couple of months ago forcing him out of work.""",forcing him out of work/,0
“I'm tired of that deep hole in my heart weighing me down. I want to die without killing myself. I just wish my physical pain would drown out my mental pain”,deep hole in my heart/ physical pain/,1
"""I am worried about his mental health and not sure what to do.""",worried about his mental health/ ,3
“I need to talk to people but I have no one to talk to.”,Have no one to talk to/ need to talk to people/,2
"“I feel so lost, sad and alone and I don't know what to do.”",feel so lost/ sad/ alone/ don't know what to do/,3
"“I am at breaking point when it can take me 2 weeks to get everything to what my brain accepts as reasonable, inside and outside of the house for these. It just seems like that's all I do.”",At breaking point/ take me 2 weeks to get everything to what my brain accepts as reasonable/,3
"""Husband has had depression and anxiety, and refuses treatment. Our divorce discussions began 2 years ago when he was violent. He isn't violent now but can get mean (mean comments) when he's down. """,depression and anxiety/ divorce discussions/ violent/ mean comments/,3
"“he drinks to calm his nervous system ”
",Drinks to calm his nervous system/,1
“My psychologist says she finds the way my parents talk to me sad (they would sometimes come with me to appointments) and that I should try making my own family with friends but I really struggle making friends too”,Struggle making friends too/,2
“After a year of job searching and no success I can't keep things the way they are.”,Job searching and no success/,0
"""I live alone, and feel like there is no point to life without her."" ",Live alone/ feel like there is no point to life without her/,2
"""He still can’t be open emotionally with me. He shuts me out and can’t be affectionate with me.""",can't be open emotionally with me/ he shuts me out/ can’t be affectionate with me/,2
"“Instead I have less than five grand and I am 24! I have now only just managed to get two jobs, both of which I haven’t started. This has deeply depressed me,”",Have less than five grand/ managed to get two jobs/ depressed/,0
“I feel lost and have no direction in my life.”,feel lost/ no direction in my life/,3
“My mum has severe enough OCD but refuses to talk about it or get help”,severe OCD /,1
"“I feel broken, because on one hand I really want a friend to hang out with and chat with. But there is another part of me that doesn’t have the energy to contribute into any friendships.”",Feel broken/ really want a friend to hang out with. Doesn’t have the energy to contribute into any friendships/,2
"""My son is autistic, anxiety and depression recovering from cancer and is gay.""",Autistic/ anxiety/ depression/ gay/,1
"""It was emotionally, mentally and physically draining for months on end.""",physically draining/,1
"“Now I’m in a job where I don’t even feel like it’s for me. I’m in a new town, broke with all my animals. Plus my other animals still in the town I left because I can’t afford to move them. I just feel so so out of place and feel like I’m ticking time bomb that’s just hanging on by a thread.”",i'm in a job where I don’t even feel like it’s for me/ broke with all my animals/ can’t afford to move them/ feel so out of place/ feel like I’m ticking time bomb/ hanging on by a thread/,0
"""Work stuff I just can't talk right, others are fine but I'm crap, but non-work stuff is okay.""",others are fine but I'm crap/,0
“my Mental health has deteriorated significantly in that time. I think it is getting much worse as I get older actually and the PTSD is debilitating now.”,Mental health has deteriorated/ PTSD is debilitating/,1
"“Recently I've been struggling with my sister and our relationship. Since her wedding at the start of the year, she has brought up issues with me. These issues came like an avalanche, without warning”",struggling with my sister and our relationship/  she has brought up issues with me,2
"“I'm in a constant battle between under (novelty-seeking) and over stimulation (panic attacks, burn out, shut down)”",Panic attacks/ burn out/ shut down/,1
"“I did something wrong, which triggered me.""",did something wrong/ triggered/,3
"""I am feeling downhearted about working with her.""",feeling downhearted/,3
"""She hates talking to people about herself and when she is ""forced"" to she simply tells them what they want to hear.”",Hates talking to people/,2
"""It's like seeing a train wreck unfold and being powerless to stop it.""",seeing a train wreck unfold/ being powerless to stop it/,3
"""I have recently put my cat down and I am struggling massively with the decision I made, I regret doing it.""",Struggling massively with the decision I made/ regret / ,3
"""I am 90% sure she will have left me by the time I get home from work today.”",She will have left me /,2
"""I’m not coping very well at the moment, and I’ve never said that out loud.""",not coping very well/ never said that out loud/,3
"""I have been diagnosed with Peripheral Neuropathy.""",been diagnosed with Peripheral Neuropathy/,1
"“After my stigmatisation by public service as outcast with adhd, I am pushed more and more to the edge of society.”",stigmatisation by public service/ pushed more and more to the edge of society/ outcast with adhd/,2
"“I am so torn. I barely sleep, I put her on my bed at night and she is often panting, crying in her sleep or having tremors”",barely sleep/ often panting/ having tremors/,1
“I don’t even like the job… I’m looking at other employment opportunities.”,don’t like the job/ looking at other employment opportunities/,0
"""knowing that this may be a cry for help and the fact that there is a chance I could help her get through this, even if it means putting her feelings first, makes me want to do it. I think I'll regret it if I don't try.""",Putting her feelings first/,2
“trauma bonding? I think this is what I have with my husband which is why I am unable to leave him even though I know he abuses me...”,Trauma/,1
“This has triggered a lot of panic & fear in me as it was unexpected.”,triggered a lot of panic/ fear/ unexpected/,3
“Memories of when I was raped have been popping up in my head every other day even though it was 10yrs ago now.”,Memories of when I was raped have been popping up in my head every other day/,3
“I’m 31 years old and have struggled with drug addiction for ten years.”,Struggled with drug addiction/,1
"“I have had flashbacks from a night out in my 20s and I think I might have been sexually abused after I passed out from drinking too much.""",sexually abused/,3
“I'm struggling with some of the abusive and violent language from last night. Further I have not spent a night away from my son or daughter since I moved in 5 years ago. I can’t imagine not living in the same house as them.”,Struggling with some of the abusive and violent language from last night/ can’t imagine not living in the same house as them/,2
"He has recently gone on anti-depression tablets but will still drink with them which causes problems.""",Anti-depression tablets/,1
"""I'm really struggling with my partner's family who hardly check in to see how our child is doing.""",Struggling with my partner’s family/ ,2
"""I miss my cat so much. I wish I could go back to that day and start over.""",Wish i could go back to that day and start over /,3
" ""I was stricken with grief again & in a new relationship with an alcoholic narcissist.""",new relationship with an alcoholic narcissist/ ,2
"""I get triggered regularly and there is next to no support available just wait lists everywhere.”",There is next to no support available/,2
"“I keep making mistakes at work, each day I mess up things a newbie would know not to do, and I just know I’m getting on everyone's nerves that I keep making these silly mistakes and forgetting things I should already know.”",I’m getting on everyone's nerves/  I keep making these silly mistakes and forgetting things/ keep making mistakes at work/ mess up things/,0
"“i wrote this down because i'm in another extreme emotional downhill, the only thing i can do is self harm and keep crying, really don't know what to do.”",extreme emotional downhill/ keep crying/ really don't know what to do/,3
“i got into a massive fight with my partner today to the point my son n i almost became homeless cause he either don't care or don't want to accept that i have.... Anxiety. Bipolar. ADHD.and epilepsy. ,Got into a massive fight with my partner/,2
“My closest friend can't understand why I still loved him. I guess what I am asking is:how do I reconcile the fact that he was gay but in a hetero relationship with me? Very confused but wanting to hold on to the love I thought we had.”,Very confused/ wanting to hold on to the love I thought we had/,2
"""My father physically, mentally, and sexually abused me up until the age of 15 until I had finally had enough.""","physically, mentally, and sexually abused me/",1
 “He was sent to hospital and ended up keeping him in the surgery for a good 2+ hours before allowing him to come home.”,sent to hospital/ keeping him in the surgery/ ,1
"“I was molested by a teacher for five years, bullied by students from the age of 4, the bullying turned into physical assaults and what one police detective termed as torture, I was sexually assaulted by a friend's boyfriend at age 13, 16, and raped at age 20.”",molested/bullied/ sexually assaulted/ raped/,1
“I have been suffering from a pretty bad burnout + panic disorder.”,suffering from a pretty bad burnout/ panic disorder,0
"“But internally, I feel like I’m crumbling.”",feel like I’m crumbling/,3
"“I have had enough , well and truly reached my limit. though plotting suicide does calm me a bit. Life shouldn’t be like this.”",have had enough/ reached my limit/ plotting suicide/ Life shouldn’t be like this/,3
"""I pray to god every single day to help me overcome my depression and anxiety and I think he does in so many ways. But I can’t overcome it completely and it’s exhausting. My husband and kids deserve so much better.""",depression and anxiety/ can’t overcome it/ it’s exhausting/ deserve so much better/,3
"""I've been getting unusual onsets of pain around my back, chest that come and go""",unusual onsets of pain/,1
"""As I know for myself that I get attached easily to an idea of someone.""",Get attached easily to an idea/,0
"""It can be so hard to talk about this stuff with non-med people.""",Hard to talk about this stuff/,0
"""I love him but I need someone to look after me too.""",need someone/,3
"“I tried to explain my feelings and thoughts to my partner but she does not understand my needs, nor can she help me. ”",She does not understand my needs/,2
“I feel like I’m not able to stick to any routine and all I do every day is try to regulate my breathing and not go into a panic mode.”,not able to stick to any routine/ panic mode/,3
"""at times I feel empty, sad.""","feel empty, sad/",3
"""I feel starting enough and tired, hopeless, helpless because I try to talk with many people before this situation come and after also try to find solutions but I’m failed.""","feel starting enough and tired, hopeless, helpless/ failed/",3
“Dealing with my son has taken an epic toll on us as a family unit.”,Epic toll on us as a family unit/,2
“We both try and support her because she was sexually abused as a child so we tolerate her behaviour and support her even though she refuses help or to even recognise she has a problem.”,tolerate her behaviour and support her/ ,2
"“I have finally decided to leave my job because there is too much pressure to do more, go faster, be perfect etc and I just can't handle it anymore.”",Decided to leave my job/ too much pressure/ pressure to be perfect/ just can't handle anymore,0
"“I also find it hard to trust people, which usually leads to me ghosting on people. ”",Find it hard to trust people/ ghosting on people/,2
"""She was with me through past episodes of depression and just life in general and now that she's not is bloody hard.""",Depresion/ bloody hard/,3
"“I am so unmotivated, it's stepped up since Covid... I feel I have cried almost every day at the same stage during day for 2 years.""",So unmotivated/ cried almost every day/,3
"“We have regular occurrences of him just breaking down in tears, saying he doesn't want to be alive, and he just wants it all to be over. He feels guilty about the effect it's having on me and wants me to be able to get on with my life.”",breaking down in tears/ doesn't want to be alive/  feels guilty/ able to get on with my life/,3
"“I have a diagnosis of complex PTSD due to significant childhood and adolescent sexual, physical and emotional trauma.”","Complex PTSD/ sexual, physical and emotional trauma/",1
“I feel as if I am made of glass and can no longer push through or shrug things off like I used to.”,can no longer push/ shrug things off/,3
“I just get thoughts that the only way around this is that I need to end my life. I constantly day dream about death/suicide”,need to end my life/constantly day dream about death/ suicide/,3
“I stopped a SNRI anti depressant 11 months ago that i had been on for 15 years and have since experienced an array of disturbing physical and physiological symptoms that did not exist pre medication.”,stopped a SNRI anti depressant/ experienced an array of disturbing physical symptoms/ symptoms that did not exist pre medication/,1
"""Wife has been unhappy for quite some time, and has previously asked to separate.""",Wife has been unhappy/ asked to separate/,2
"“I am 14 years old I have really bad anxiety, ADHD, sensory issues, OCD, POTS syndrome (not a mental disorder but I used to be able to run 12 km and now I cant even walk 3)”","have really bad anxiety, ADHD, sensory issues, OCD, POTS syndrome/ mental disorder/ cant even walk/",1
“Been in the Gold Coast for almost two years but lost my brother to suicide just after I moved up and have struggled to come to terms with.”,lost my brother/ suicide/ struggled/,3
"“I just can’t get over that wall…… tried anti-depressant but no real change there, and as time has gone on my temper gets worse, the anger sometimes scares even me.”",anti-depressant/ anger/,1
"“My issue is that because they are so supportive, I feel like I’m letting them down.”",Letting them down/,2
"“I have been struggling with ongoing back pain and associated headache pain for many weeks which in turn has spiked my anxiety (long time anxiety sufferer usually controlled very well by medication and CBT).""",back pain/ headache pain/ long time anxiety sufferer/ medication and CBT/,1
"“I’ve had to go on anti-anxiety medication and I’m seriously wondering if this is all worth it.”""",anti-anxiety medication/ wondering if this is all worth it/,3
“I am considering ceasing anti-depressants that I have been on for over twenty years.”,Anti-depressants /,1
"""Her idea of good is not being around. Any statement I make about finance/cost is seen by her as financial blackmail.""",financial blackmail/,0
“My Dad passed away from cancer 4 months ago and I have fallen into a depression. I have so much emotion that I don't know how to process it”,passed away/ fallen into a depression/ have so much emotion/ don't know how to process/,3
"""I love my current partner with all my heart and wish my ex the best but it seems that I almost have an obsession with my ex.""",Obsession/,2
“I am literally lost within this website as well as within myself.”,lost/,3
"“I gave him space for weeks, just occasional texts to check-up on him. I learned that he would talk to some of his friends and family, but just not me. I felt sad because I was very supportive of him but he was shutting me out.”",Gave him space for weeks/ learned that he would talk to some of his friends ,2
"“I just don't have the energy anymore to do anything or, money is still too tight.”",Money is still too tight/ don’t have the energy anymore to do anything/,0
“My husband has been suffering from major depression and anxiety for a number of years now. He has had two suicide attempts... It just seems like none of them know what more to do. My husband is desperately miserable.”,suffering from major depression and anxiety/  two suicide attempts/ desperately miserable/,1
"""I now feel inadequate and unworthy of him. I feel cripplingly insecure.""",feel inadequate and unworthy/ feel cripplingly insecure/,3
“He has a history of depression and it comes in waves. This time around it is more severe and has shown it’s self in a different form. “,history of depression/ more severe and has shown it’s self in a different form/,1
"“Severe inner personal critic, abandonment issues and the list goes on and on.”",Severe inner personal critic/ abandonment issues/,3
"""I am a quiet natured person but I feel this incredible pressure that I can’t be like that.""",Feel this incredible pressure that I can’t be like that/,2
"“I'm feeling fragile. I'm finding myself withdrawing. Having a hard time sleeping, and when I do, I instantly wake up with a cracking head ache.”",Having a hard time sleeping/ instantly wake up with a cracking head ache/,1
"""I feel like everyone around me is sick of me, I'm even sick of myself.""",everyone around me is sick of me/ sick of myself/,3
"“I feel there is nothing i can do too help myself.""",nothing i can do too help myself/,3
"""I'm constantly disconnected from reality, engaged in a daily struggle to comprehend my triggers and navigate through relentless mood swings""",disconnected/ daily struggle/ triggers/ relentless mood swings/,3
"About 6 years ago my wife left me because I was away for work too much and I took it so badly I tried to take my own life.""",I took it so badly/ tried to take my own life/,3
“I’m just really sad like all the time.”,sad all the time/,3
“I've been in the family court for 5 years with no end in sight.”,Been in the family court for 5 years/,2
"""She threatens me that she will commit suicide and I will live with that guilt.""",threatens me/ commit suicide/ live with that guilt/,3
"""Even my mum, step dad, sister and brother-in-law have no idea what I’m going through.""","Even my mum, step dad, sister and brother-in-law have no idea what I’m going through/",2
"“Some people are telling me to take some time off but if I'm alone, which I would be I think I'd just lappse into utter dispair. I'm so worried about my Mum and my Dad, they are so loving and close. I never think of them as separate people, always together the most loving unit”",Lapse into utter despair/,3
“I have been living with my partner for about 7 years which is a same sex relationship. Recently her dad has been crossing a line with me; and I feel like its my fault .”,Her dad has been crossing a line with me/,2
“I started developing pains in my abdominal area”,started developing pains in my abdominal area/,1
"""We have 3 beautiful adult children and 2 of the best grandchildren. We see each other once a week.""",See each other once a week/,2
"""I've had this sort of empty feeling in me whenever I see people with their siblings, or my friends talk about their brothers.""",empty feeling/ ,3
“I’m really struggling because his depression is being taken out on me emotionally and I’m become too tired to try and then it just goes in a circle back to me not knowing what to say and being unable to help him when really I’m just tired because I have tried and he doesn’t see or listen”,his depression is being taken out on me/ not knowing what to say and being unable to help him/ I have tried and he doesn’t see or listen/,2
"“I have no social interactions as I feel unworthy of love and friendship.""",no social interactions/ feel unworthy of love and friendship/,2
"“overwhelming need for self punishment driven by guilt and past abuse/ trauma in the form Of excess medication, inflicting pain on oneself, sexual punishment and risk taking”",excess medication/ inflicting pain/ sexual punishment/,1
"I have CPTSD, Depression, Anxiety a chronic pain disorder and recently been diagnosed with ADHD.",Chronic pain disorder/ diagnosed with ADHD/,1
"“I'm 24 and have finished my university degree which i forced myself to do out of fear of not having a career in the future. Now that I’m finished I'm really struggling to find a purpose in my life. I don’t want to do anything. Nothing interest me. Every job i apply for, if I get an interview i choose to not go as i no longer want the job, feel incompetent ”",Fear of not having a career in the future/ struggling to find a purpose in my life/ don’t want to do anything/ no longer want the job’ feel incompetent/,0
"""In my 34 years I have suffered from mental heath issues for about 19 of those.""",suffered from mental heath issues/,3
"""As I find myself sinking to unfamiliar depths, I no longer recognize the person staring back at me.""",sinking to unfamiliar depths/,3
"""I also wish people were more light hearted and that actions were still seen as louder than words, rather than controversial because you said something that should be forgotten about by tomorrow.""",Wish people were more light hearted/,2
"“She is also HUGE on me not being able to show empathy (l can show it for some situations l have been in, but not so much for her, l don't know why) and berates me for this and chalks it up to me 'not caring' about her/it being a lack of care factor.”",berates me/ not caring/,3
“My issue is reaching out for help. No-one understands or can relate.”,Reaching out for help/ no one understands /,2
“I am having lots of anxiety and worries since I started my training. I saw how everyone is fast and able to do their task on time.”,Having lots of anxiety and worries since I started my training/,0
"“Ever since I was little, my parents would ignore me and it doesn't get better as the years go on. They pay a lot of attention to my older sister and some to my younger sister, but I feel so unwanted.”",parents would ignore / unwanted/,2
"“I am constantly feeling negative myself now, worrying about him yet knowing he is doing nothing to help himself. I also feel guilty I am not helping him more, however I work full time and do uni full time also. I do not have the energy or time to be his carer, nor do I feel I should be when there is so much support services available to use.”",Feel guilty I am not helping/ do not have the energy and time to be his carer/,2
"“I have recently left a relationship. I won’t go into the details of it. But since leaving, I feel so out of place, I packed up and left, moved 2000km away. All of future plans have just disappeared. I think because I made them all with him.”",Recently left a relationship/ feel out of place/ ,2
"“Doing the regular 9-5… pretending to smile and act normal because I’m in a leadership position, pretending I’m totally fine during client meetings..the appearance that everything is fine.”",Pretending to smile and act normal because I’m in a leadership position/,0
"“I've reached a crisis point in regards to my ptsd and despite what people are telling me, I'm still getting worse and worse.”",reached a crisis point/ ptsd/ I’m still getting worse and worse/,3
"""I am terrified of waking up each day with the realization she isn’t here with me anymore.""",terrified of waking up each day/,3
"“Her reasons are that I am too difficult to live with, and that I scare the kids when I yell at them.”",Too difficult to live with/ scare the kids/,2
"""I don't like my generation, not only with modern music, but because I am religious and too rare to relate with their modern secular differences.""",Too rare to relate with their modern secular differences/ don’t like my generation/,2
“my get up and go has got up and gone and for the past week in particular I have been super emotional often crying in the car etc.”,my get up and go has got up and gone/ super emotional/ often crying/,3
"""I feel guilty about my past, like I was a bad person.""",feel guilty about my past/,3
"""Constantly on the edge. This life is exhausting. Trying is exhausting. I want to give up. I want to lose my mind. I don’t want to try. I can’t be perfect I cant, please just stop.""",Constantly on the edge/ life is exhausting/ Trying is exhausting/ want to give up/ want to lose my mind/ don’t want to try/ can’t be perfect/ ,3
"""I was forced to medically retire.""",forced to medically retire/,0
"“Ever since, I have had bad anxiety thinking I am going to get in trouble.”",Bad anxiety/  trouble/,1
“8 months prior my bff girlfriend of 35 years passed away”,girlfriend of 35 years passed away/,3
"“I feel very lonely, unwanted and unappreciated. I am an introvert by nature and I'm very shy. I'm not the most attractive guy out there, but I do have a good heart and would like to be with someone.”",Feel very lonely/ unwanted/ unappreciated/,2
"""Yesterday I had a bad day at work and received a disgruntled parent phone call that could have been avoided if I had handled a situation a different way.""",Had a bad day at work/ received a disgruntled parent phone call/,0
"""I would like to exercise but even the thought of it makes me tired.”",Thought of it makes me tired/,1
"""I’ve had OCD for most of my life and only recently has my brain been fixated on having a fully empty bladder.""",Had OCD/ brain been fixated/ having a full empty bladder/,1
“I know I'm not alone but I feel so alone in this.”,I feel so alone in this/,2
“My anxiety and depression I know are real. They are something I can't control and they are the only time I actually know what’s happening with me.”,anxiety and depression/,1
“I feel cheated out of life and then I feel guilty because materialistically I have it better then others.”,feel cheated/ feel guilty/,3
"""It feels a bit like what I read in this book once, that a partner said about their mentally ill spouse – when they’re in the room, there’s no oxygen left for me.”","Mentally ill spouse/ when they’re in the room, there’s no oxygen left for me/",2
"“On the surface, people look down on me, thinking I'm spoiled and entitled. But the truth is, I've felt so trapped, misunderstood, embarrassed, and repressed.”",People look down on me/ trapped/ misunderstood/ embarrassed/ repressed/,2
“my dad 4 weeks after my mum passed started dating someone new and now is always away and never there for me or my sister”,My dad 4 weeks after my mum passed started dating someone new/,2
"""I’m so sick of battling my mental health""",sick of battling my mental health/,3
"""The relationship with my wife has gradually become frustrating."" ",Relationship with my wife/ frustrating/,2
"“While they pay for my taxes, fees, and support me financially, they don't care about me emotionally. When I've felt down and upset, they would mock and dismiss my problems, telling me to just get over it.”",They don’t care about me emotionally/ they would mock and dismiss my problems/ ,2
"“I’m drowning in regret, guilt and mental pain. My friends/family all see me as an incredibly strong person that is handling this situation with poise and dignity but behind my closed office door or in the shower I’m a mental mess and I don’t know how to get past feeling like this.”","drowning in regret, guilt and mental pain/ mental mess/ don’t know how to get past feeling like this/",3
"""I'm terrible for thinking this.""",Terrible.,3
"“I have also gained so much weight in the last year I am heavier now than I was pregnant with any of my kids.""","gained so much weight,/heavier now than I was pregnant with any of my kids/",1
"""This life is so hard, I have a headache right now and its really killing all vibes I had left.""",life is so hard/ headache/ really killing all vibes/,3
"“I’m lucky if I get 4-5 hrs sleep, I’m always tired”",always tired/ get 4-5 hrs sleep/,1
"""I've been suicidal for such a long time now, it feels like forever.” ",suicidal/ feels like forever/,3
“My mind goes a million miles and hour and i don’t know how to calm it. My weight has shot up so quickly because I go quiet and numb and find it easier to shut off from the world then deal with talking about it.”,My weight has shot up/ quiet and numb/ ,1
“I also compare myself to others. They can do it. Why can’t I?”,compare myself to others/ why can’t I/,0
"""I'm really alarmed with his psychological state and think he needs help.""",really alarmed/ psychological state/ ,3
“I have been diagnosed with a long term anxiety disorder (so GAD) which of course borders into depression also being that they tend to run side by side with each other. I have been taking medication for many years now and at night to help with sleep.”,taking medication for many years at night to help with sleep/ ,1
“I don't know why how can I be faking this feeling of  emptiness but I think that and I don't know what to do. what If I decided to talk to someone and they think I am a joke and am faking it.”,Faking this feeling of emptiness/ ,2
"“I’m not the only suffering in silence, and I want to change that and help people like me. The worst, is where the research lead me.”",Not the only suffering in silence/ want to change that and help people like me/,2
“i feel so upset & riddled with anxiety right now.”,feel so upset/ riddled with anxiety/,3
"“I sometimes have dreams about him and wake up crying and when I think about him, it makes me emotional, like right now.”",wake up crying/ emotional/,3
"“I can't even stand up for myself, because I go into shut down when I need to act.”",can't even stand up for myself/,3
“I know now that there is a lot of unreleased trauma in my body that is a contributing factor in not healing mentally or physically.”,unreleased trauma in my body/ not healing mentally or physically,1
“At the moment I have a lot of terror all day everyday and then it manifests even when I’m asleep. In the last 5 months I sleep between about 3-6 hours most nights.”,"a lot of terror all day everyday/ manifests even when I’m asleep, sleep between about 3-6 hours most nights/",1
"""I find it hard to concentrate, I can't retain information, and I often find myself just staring into space, not knowing how long I've been doing it for.""",Hard to concentrate/ can’t retain information/,0
"""Obviously this hurt a lot, but I love her unconditionally and gave her the space she needed.""",hurt a lot/ ,2
"""Families should always cherish each other because divorce for myself has come with the greatest grief, loss of my own family home, family times, extended relatives & friends.""",Grief/ loss/,2
"""I feel so alone and like I have no friends.""",feel so alone/ have no friends/,2
“I ran as quick as I could from my job.”,ran as quick as I could from my job/,0
"""After suffering several childhood trauma, I have developed complex PTSD, recurring depressions, and chronic suicidal thoughts.""",Childhood trauma/ complex PTSD/ recurring depressions/ suicidal thoughts/,1
“one of the girls doesn't talk to me much. She wasn't very supportive.”,doesn't talk to me/ She wasn't very supportive/,2
"“I still have trauma to heal from, learn to cope with anxiety and depression, finding a purpose in my life and overcoming many many fears.”",have trauma to heal from/ cope with anxiety and depression/ finding a purpose in my life/ overcoming many many fears/,3
""" I feel like a shell of a person, like I don’t have any strengths or ideas or value.""",feel like a shell of a person/ don’t have any strengths or ideas or value/,3
"“I don't have anyone in my life who truly cares about me. I have a few friends, but not close ones. I just want to figure out what is so wrong with me that everyone hates me.”",Dont have anyone in my life who truly cares about me/ what is so wrong with me/ everyone hates me/,2
“I’m just wondering how long it is going to take for me to be able to cope because right now I struggle to get out of bed and feel so broken. I really really miss her and feel so sad when I think of the future without her. I don’t really know what to do anymore.”,struggle to get out of bed/ feel so broken/ really really miss her/ feel so sad/ don’t really know what to do anymore/,3
"""If I told them I'm struggling with an eating disorder, what are they going to do to help me?""",eating disorder/ ,1
"""He is paranoid, delusional, makes weird connections between issues with no basis, quick to anger, no sense of self-reflection, struggles to maintain friendships""",struggles to maintain friendships/ ,2
"""I've busted my butt for the family, and carry so much of the income generation and household chores.""",Busted my butt for the family/,3
"“Since then I’ve been on a roller-coaster of antidepressants, Electromagnetic Therapy and 4 long term hospital psych ward admissions.”","antidepressants, Electromagnetic Therapy/",1
"“Bile is produced when we are angry, but in my case the anger didn’t get expression and I feel like it’s caused inner destructive processes to my own body.”",Bile is produced when we are angry/ caused inner destructive processes to my own body/,1
"""However, I have my days where I miss him. I wish him well but I will not forgive what he did to me. """,I miss him/ will not forgive what he did to me / ,3
"""I have never had these thoughts before. Sure, I have thought about death, but have always brushed it off because I knew it was not an option, but now it’s different.""",never had these thoughts/ thought about death/ ,3
“I find I go into a spiral and I struggle to get out of it. My thoughts go to the scariest scenarios sometimes and it makes me so scared of things to do with life and so fearful of what could happen.”,I go into a spiral/ struggle/ so fearful/,0
"“I have emetephobia and my child is ill and this is the second time in a month, lots of anxiety and triggers”",anxiety and triggers/,3
"“Last night got me thinking of how behind i am in life compared to friends, slow with learning and understanding things most people even younger than me seem to have taken on board. Then this time it struck me that I repeated year 2 due to math learning difficulties.”",Behind I’m in life/ slow with learning and understanding things/ math learning difficulties/,0
"""I think distraction is the one of the best way in getting thru that awful wave… I do feel that mine lasts longer than it should by the time it’s about to pass a new one starts…""",distraction/ awful wave/,3
“I'm getting bad side effects though as in intermittent nausea and a more depressed mood with the nausea. The nausea is a common side effect but it is really getting me down.”,bad side effects/ intermittent nausea/ nausea is a common side effect/,1
“The night of my last appointment we talked about my mum covering this up I was a mess. All I could think about was what he did and how she valued everyone else’s feelings over my own. I kept thinking what if he abused me as a young child and I don't remember”,She valued everyone else’s feelings over my own/ ,2
